movie,year,genre,color,language,country,rating,duration,budget
Spirited Away,2001,Adventure,Color,Japanese,Japan,PG,125,19000000
Psycho,1960,Horror,Black and White,English,USA,R,108,806947
Schindler's List,1993,Biography,Black and White,English,USA,R,185,22000000
Pulp Fiction,1994,Crime,Color,English,USA,R,178,8000000
Toy Story,1995,Adventure,Color,English,USA,G,74,30000000
Apocalypse Now,1979,Drama,Color,English,USA,R,289,31500000
A Separation,2011,Drama,Color,Persian,Iran,PG-13,123,500000
Goodfellas,1990,Biography,Color,English,USA,R,146,25000000
The Lord of the Rings: The Fellowship of the Ring,2001,Action,Color,English,New Zealand,PG-13,171,93000000
Alien,1979,Horror,Color,English,UK,R,116,11000000
L.A. Confidential,1997,Crime,Color,English,USA,R,138,35000000
On the Waterfront,1954,Crime,Black and White,English,USA,Not Rated,108,910000
The Lord of the Rings: The Two Towers,2002,Action,Color,English,USA,PG-13,172,94000000
Saving Private Ryan,1998,Action,Color,English,USA,R,169,70000000
The Lord of the Rings: The Return of the King,2003,Action,Color,English,USA,PG-13,192,94000000
Star Wars: Episode IV - A New Hope,1977,Action,Color,English,USA,PG,125,11000000
Pan's Labyrinth,2006,Drama,Color,Spanish,Spain,R,112,13500000
Back to the Future,1985,Adventure,Color,English,USA,PG,116,19000000
Some Like It Hot,1959,Comedy,Black and White,English,USA,Not Rated,120,2883848
Hoop Dreams,1994,Documentary,Color,English,USA,PG-13,170,700000
The Shawshank Redemption,1994,Crime,Color,English,USA,R,142,25000000
The Dark Knight,2008,Action,Color,English,USA,PG-13,152,185000000
Star Wars: Episode V - The Empire Strikes Back,1980,Action,Color,English,USA,PG,127,18000000
The Lives of Others,2006,Drama,Color,German,Germany,R,137,2000000
Toy Story 3,2010,Adventure,Color,English,USA,G,103,200000000
Inside Out,2015,Adventure,Color,English,USA,PG,95,175000000
The Silence of the Lambs,1991,Crime,Color,English,USA,R,138,19000000
Raiders of the Lost Ark,1981,Action,Color,English,USA,PG,115,18000000
Whiplash,2014,Drama,Color,English,USA,R,107,3300000
The Best Years of Our Lives,1946,Drama,Black and White,English,USA,Not Rated,172,2100000
Aliens,1986,Action,Color,English,USA,R,154,18500000
Eternal Sunshine of the Spotless Mind,2004,Drama,Color,English,USA,R,108,20000000
One Flew Over the Cuckoo's Nest,1975,Drama,Color,English,USA,R,133,4400000
The Lion King,1994,Adventure,Color,English,USA,G,73,45000000
Up,2009,Adventure,Color,English,USA,PG,96,175000000
Gone with the Wind,1939,Drama,Color,English,USA,G,226,3977000
Spotlight,2015,Biography,Color,English,USA,R,128,20000000
Ratatouille,2007,Animation,Color,English,USA,G,111,150000000
Persepolis,2007,Animation,Color,French,France,PG-13,89,7300000
No End in Sight,2007,Documentary,Color,English,USA,,102,2000000
Finding Nemo,2003,Adventure,Color,English,USA,G,100,94000000
Annie Hall,1977,Comedy,Color,English,USA,PG,93,4000000
The Bridge on the River Kwai,1957,Adventure,Color,English,UK,PG,161,3000000
12 Years a Slave,2013,Biography,Color,English,USA,R,134,20000000
Jaws,1975,Adventure,Color,English,USA,PG,130,8000000
Before Sunset,2004,Drama,Color,English,USA,R,80,2700000
Memento,2000,Mystery,Black and White,English,USA,R,113,9000000
Toy Story 2,1999,Adventure,Color,English,USA,G,82,90000000
Unforgiven,1992,Drama,Color,English,USA,R,131,14400000
Before Sunrise,1995,Drama,Color,English,USA,R,105,2500000
The Iron Giant,1999,Action,Color,English,USA,PG,90,70000000
Aladdin,1992,Adventure,Color,English,USA,G,90,28000000
Waltz with Bashir,2008,Animation,Color,Hebrew,Israel,R,90,1500000
The Pianist,2002,Biography,Black and White,English,France,R,150,35000000
