restaurant,sandwich,calories,fat,sat_fat,trans_fat,chol,sodium,carbs,fiber,sugar,protein
Subway,Roast beef Wrap,500,14,3,0,75,1440,58,3,7,38
Erbert & Gerbert's,Tappy (Honey Wheat Bread),778,41,11,0,53,1574,71,5,6,30
Subway,Italian B.M.T.,240,15,5,0,50,880,12,4,5,14
Potbelly,Pizza Melt,750,35,14,0,90,2200,70,4,7,39
Subway,Veggie Delite,50,1,0,0,0,75,9,4,5,3
Erbert & Gerbert's,Tappy (French Bread),758,40,11,0,53,1544,71,3,4,31
Potbelly,"Ham, Mushroom, Egg & Swiss",720,27,12,0,340,2210,67,3,6,51
Jimmy Johns,The Veggie (#6),502.5,29.25,9.75,0,48.75,810,48,4.5,1.5,25.5
Erbert & Gerbert's,327,206,10,0,117,1537,63,5,23,43,10
Jimmy Johns,Country Club (#11),585,23.25,6,0,75,1485,48.75,3.75,2.25,38.25
Subway,Meatball  Marinara Wrap,780,38,14,2,75,2010,76,7,11,34
Subway,Buffalo Chicken with Grilled Chicken,380,12,3,0,55,1380,42,3,6,25
Subway,Steak (Includes American Cheese),210,9,4,0,65,740,12,4,6,22
Quiznos,Honey Bourbon Wheat Wrap,470,12,3.5,0.2,45,1100,66,7,15,25
Quiznos,Meatball Sub,530,24,10,0.5,55,1280,54,4,6,26
Firehouse,Hero,600,28.5,6,NA,67.5,1755,47.25,3,11.25,36
Quiznos,Chipotle Steak and Cheddar Wheat Wrap,680,37,10,0.5,65,1550,57,7,4,29
Subway,Turkey Cali Club with Smashed Avocado (#12),600,34,10,0,70,1310,43,6,7,33
Potbelly,Roast Beef & Provolone,610,21,9,0,80,1300,63,2,4,42
Jimmy Johns,Slim 4,315,2.25,0,0,22.5,697.5,44.25,3,0,22.5
Jimmy Johns,Slim 1,405,9.75,4.5,0,37.5,1207.5,51.75,3,0.75,24.75
Jimmy Johns,Bootlegger Club (#14),510,17.25,2.625,0,67.5,1177.5,46.5,3.75,1.5,35.25
Subway,Veggie Patty,390,11,1,0,0,690,56,13,8,16
Erbert & Gerbert's,Neuron (French Bread),654,23,10,1,70,2034,82,5,22,36
Subway,Italian B.M.T.,400,16,6,0,50,1180,43,3,6,19
Firehouse,Engineer,517.5,26.25,6,NA,48.75,1522.5,44.25,4.5,6.75,27.75
Erbert & Gerbert's,Vesuvius (Honey Wheat Bread),752,20,11,0,117,1737,89,5,24,50
Erbert & Gerbert's,Saturn (Honey Wheat Bread),948,51,18,0,128,2519,73,6,8,43
Quiznos,Chipotle Steak and Cheddar Sub,580,30,8,0.5,70,1450,51,4,5,28
Subway,The Philly (#1),500,25,9,1,85,1310,41,2,5,28
Erbert & Gerbert's,Girf (Gluten Free Bread),759,43,10,0,93,1986,62,8,7,33
Potbelly,Wrecking Ball,840,41,16,0,125,2460,72,7,7,50
Quiznos,Signature Tuna Wheat Wrap,630,32,9,0.5,25,1370,58,7,6,28
Quiznos,Beef & Swiss Melt Wheat Wrap,660,34,9,0.5,60,1390,57,6,5,30
Subway,The Beast (#30),730,44,14,1,115,2080,45,3,7,40
Subway,Oven Roasted Turkey &  Ham Wrap,440,11,2,0,50,1560,56,3,5,30
Subway,Black Forest Ham Wrap,440,11,2,0,55,1570,58,3,6,28
Erbert & Gerbert's,Northern Cheesesteak (French Bread),670,32,8,0,61,1435,66,3,4,35
Potbelly,Steakhouse Beef,790,37,15,0,110,1760,64,2,4,49
Subway,Buffalo Chicken Wrap (with Grilled Chicken),560,19,4,0,110,1800,56,3,5,42
